title,genre,director,cast
Aristotle and Dante Discover the Secrets of the Universe,Drama,Aitch Alberto,"Max Pelayo, Reese Gonzales, Veronica Falcón, Eugenio Derbez"
The Panic in Needle Park,Drama,Jerry Schatzberg,"Al Pacino, Kitty Winn, Alan Vint, Richard Bright"
The Hammer,"Biography, Crime, Drama",Jeff Beesley,"Reba McEntire, Kay Shioma Metchie, Rex Linn, Melissa Peterman"
Twin Peaks: The Missing Pieces,"Drama, Horror, Mystery",David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder"
Anon,"Crime, Mystery, Sci-Fi",Andrew Niccol,"Clive Owen, Afiya Bennett, Morgan Allen, Jeffrey Men"
When the Game Stands Tall,"Biography, Drama, Family",Thomas Carter,"Jim Caviezel, Alexander Ludwig, Michael Chiklis, Laura Dern"
The Seeding,"Horror, Thriller",Barnaby Clay,"Scott Haze, Kate Lyn Sheil, Alex Montaldo, Garrett Atkinson"
The Double,"Action, Adventure, Crime",Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan"
War Machine,"Comedy, Drama, War",David Michôd,"Brad Pitt, Daniel Betts, John Magaro, Emory Cohen"
Skyline,"Action, Sci-Fi, Thriller",Colin Strause,"Greg Strause, Eric Balfour, Donald Faison, Scottie Thompson, Brittany Daniel"
Brooklyn Orchid,"Comedy, Romance",Kurt Neumann,"William Bendix, Joe Sawyer, Marjorie Woodworth, Grace Bradley"
Police Academy 5: Assignment: Miami Beach,"Comedy, Crime",Alan Myerson,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook"
The Last Front,"Action, Drama, History",Julien Hayet-Kerknawi,"Sasha Luss, Iain Glen, Joe Anderson, David Calder"
Assassin Club,"Action, Thriller",Camille Delamarre,"Henry Golding, Noomi Rapace, Daniela Melchior, Jimmy Jean-Louis"
Simon Birch,"Comedy, Drama, Family",Mark Steven Johnson,"Ian Michael Smith, Joseph Mazzello, Ashley Judd, Oliver Platt"
Falcon Lake,"Drama, Fantasy, Romance",Charlotte Le Bon,"Joseph Engel, Sara Montpetit, Monia Chokri, Arthur Igual"
Song of the South,"Animation, Comedy, Family",Harve Foster,"Wilfred Jackson, Ruth Warrick, Bobby Driscoll, James Baskett, Luana Patten"
Liberal Arts,"Comedy, Drama, Romance",Josh Radnor,"Josh Radnor, Elizabeth Olsen, Zac Efron, Elizabeth Reaser"
Out Cold,"Comedy, Sport",Brendan Malloy,"Emmett Malloy, Flex Alexander, David Denman, A.J. Cook, Caroline Dhavernas"
Married to the Mob,"Comedy, Crime, Romance",Jonathan Demme,"Michelle Pfeiffer, Alec Baldwin, Paul Lazar, Captain Haggerty"
Gorillas in the Mist: The Story of Dian Fossey,"Biography, Drama",Michael Apted,"Sigourney Weaver, Bryan Brown, Julie Harris, John Omirah Miluwi"
The Rescue,"Documentary, Action, Mystery",Jimmy Chin,"Elizabeth Chai Vasarhelyi, Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan, Woranan Ratrawiphukkun"
Hop,"Animation, Adventure, Comedy",Tim Hill,"Russell Brand, James Marsden, Elizabeth Perkins, Kaley Cuoco"
The Burning Plain,"Crime, Drama, Mystery",Guillermo Arriaga,"Charlize Theron, John Corbett, José María Yazpik, Robin Tunney"
On the Beach,"Drama, Romance, Sci-Fi",Stanley Kramer,"Gregory Peck, Ava Gardner, Fred Astaire, Anthony Perkins"
The Boy Who Could Fly,"Drama, Fantasy, Romance",Nick Castle,"Lucy Deakins, Jay Underwood, Bonnie Bedelia, Fred Savage"
Line of Duty,"Action, Crime, Thriller",Steven C. Miller,"Aaron Eckhart, Courtney Eaton, Ben McKenzie, Giancarlo Esposito"
Kagemusha,"Drama, History, War",Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu"
Victoria,"Comedy, Drama, Romance",Justine Triet,"Virginie Efira, Vincent Lacoste, Melvil Poupaud, Laurent Poitrenaux"
Time After Time,"Adventure, Drama, Sci-Fi",Nicholas Meyer,"Malcolm McDowell, Mary Steenburgen, David Warner, Charles Cioffi"
Whale Rider,"Drama, Family",Niki Caro,"Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton, Cliff Curtis"
Freaks of Nature,"Comedy, Horror, Sci-Fi",Robbie Pickering,"Nicholas Braun, Mackenzie Davis, Josh Fadem, Denis Leary"
Aladdin 2,"Adventure, Comedy, Family",Guy Ritchie,
Joe Kidd,"Drama, Western",John Sturges,"Clint Eastwood, Robert Duvall, John Saxon, Don Stroud"
An Affair to Remember,"Drama, Romance",Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson"
Alex Rider: Operation Stormbreaker,"Action, Adventure, Family",Geoffrey Sax,"Alex Pettyfer, Mickey Rourke, Sophie Okonedo, Sarah Bolger"
Escape Plan: The Extractors,"Action, Crime, Thriller",John Herzfeld,"Sylvester Stallone, Dave Bautista, 50 Cent, Jin Zhang"
Lovely & Amazing,"Comedy, Drama, Romance",Nicole Holofcener,"Catherine Keener, Brenda Blethyn, Troy Ruptash, Emily Mortimer"
Batman: The Killing Joke,"Animation, Action, Crime",Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise"
"Hello, Dolly!","Adventure, Comedy, Musical",Gene Kelly,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew"
Prime,"Comedy, Drama, Romance",Ben Younger,"Uma Thurman, Meryl Streep, Bryan Greenberg, Jon Abrahams"
The Magician,"Crime, Drama",Scott Ryan,"Scott Ryan, Ben Walker, Massimiliano Andrighetto, Kane Mason"
You Can Count on Me,Drama,Kenneth Lonergan,"Laura Linney, Matthew Broderick, Amy Ryan, Michael Countryman"
Overcomer,"Drama, Family, Sport",Alex Kendrick,"Alex Kendrick, Priscilla C. Shirer, Cameron Arnett, Shari Rigby"
Winchester,"Biography, Drama, Fantasy",Michael Spierig,"Peter Spierig, Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey, Jason Clarke"
Captain Corelli's Mandolin,"Drama, Music, Romance",John Madden,"Nicolas Cage, Penélope Cruz, John Hurt, Christian Bale"
The Killers,"Crime, Drama, Mystery",Don Siegel,"Lee Marvin, Angie Dickinson, John Cassavetes, Clu Gulager"
Holmes & Watson,"Comedy, Crime, Mystery",Etan Cohen,"Will Ferrell, John C. Reilly, Ralph Fiennes, Rebecca Hall"
The House in Between,"Documentary, Horror, Thriller",Steve Gonsalves,"Kendall Whelpton, Erin Brown, Justin Brown, Amy Bullard, John Bullard"
Wonder Boys,"Comedy, Drama",Curtis Hanson,"Michael Douglas, Tobey Maguire, Frances McDormand, Robert Downey Jr."
Mignonnes,Drama,Maïmouna Doucouré,"Fathia Youssouf, Médina El Aidi-Azouni, Esther Gohourou, Ilanah Cami-Goursolas"
Yip Man 4,"Action, Biography, Drama",Wilson Yip,"Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu"
The Amazing Maurice,"Animation, Adventure, Comedy",Toby Genkel,"Florian Westermann, Hugh Laurie, Emilia Clarke, David Thewlis, Himesh Patel"
Life After Beth,"Comedy, Fantasy, Horror",Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon"
The Many Adventures of Winnie the Pooh,"Animation, Comedy, Family",John Lounsbery,"Wolfgang Reitherman, Ben Sharpsteen, Sebastian Cabot, Junius Matthews, Barbara Luddy, Howard Morris"
Dirty Dancing: Havana Nights,"Drama, Music, Romance",Guy Ferland,"Diego Luna, Romola Garai, Sela Ward, John Slattery"
The Sea of Trees,"Drama, Fantasy, Mystery",Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe, Ryoko Seta"
I Can't Think Straight,"Drama, Romance",Shamim Sarif,"Lisa Ray, Sheetal Sheth, Antonia Frering, Dalip Tahil"
Nightmare Sisters,"Comedy, Fantasy, Horror",David DeCoteau,"Linnea Quigley, Brinke Stevens, Michelle Bauer, Timothy Kauffman"
The Sacrament,"Horror, Thriller",Ti West,"Joe Swanberg, AJ Bowen, Kentucker Audley, Amy Seimetz"
Into the Deep,"Crime, Drama, Horror",Kate Cox,"Ella-Rae Smith, Jessica Alexander, Matthew Daddario, Nikkita Chadha"
The Night Flier,"Fantasy, Horror, Mystery",Mark Pavia,"Miguel Ferrer, Julie Entwisle, Dan Monahan, Michael H. Moss"
The Glass House,"Crime, Drama, Mystery",Daniel Sackheim,"Diane Lane, Leelee Sobieski, Stellan Skarsgård, Bruce Dern"
I'm Not Ashamed,"Biography, Drama",Brian Baugh,"Masey McLain, Ben Davies, Cameron McKendry, Terri Minton"
Nightbitch,"Comedy, Drama, Horror",Marielle Heller,"Amy Adams, Scoot McNairy, Mary Holland, Jessica Harper"
First Kill,"Action, Thriller",Steven C. Miller,"Bruce Willis, Hayden Christensen, Ty Shelton, Megan Leonard"
Svaha: The Sixth Finger,"Crime, Horror, Mystery",Jae-hyun Jang,"Lee Jung-jae, Jung Jin-young, Yoo Ji-tae, Min Tanaka"
Around the World in Eighty Days,"Adventure, Comedy, Family",Michael Anderson,"John Farrow, David Niven, Cantinflas, Finlay Currie, Robert Morley"
The Girlfriend Experience,Drama,Steven Soderbergh,"Sasha Grey, Chris Santos, Philip Eytan, Colby Trane"
Splendor in the Grass,"Drama, Romance",Elia Kazan,"Natalie Wood, Warren Beatty, Pat Hingle, Audrey Christie"
Red Tails,"Action, Drama, History",Anthony Hemingway,"Cuba Gooding Jr., Gerald McRaney, David Oyelowo, Andre Royo"
Dead Heat,"Action, Comedy, Horror",Mark Goldblatt,"Treat Williams, Joe Piscopo, Lindsay Frost, Darren McGavin"
The Allnighter,"Comedy, Romance",Tamar Simon Hoffs,"Susanna Hoffs, Dedee Pfeiffer, Joan Cusack, John Terlesky"
Savaged,"Action, Fantasy, Horror",Michael S. Ojeda,"Amanda Adrienne Smith, Marc Anthony Samuel, Rodney Rowland, Tom Ardavany"
Chroniques sexuelles d'une famille d'aujourd'hui,"Comedy, Drama, Romance",Pascal Arnold,"Jean-Marc Barr, Mathias Melloul, Valérie Maës, Stephan Hersoen, Leïla Denio"
Chasers,"Action, Comedy, Drama",Dennis Hopper,"Tom Berenger, Erika Eleniak, William McNamara, Crispin Glover"
The Veil,Horror,Phil Joanou,"Jessica Alba, Thomas Jane, Lily Rabe, Aleksa Palladino"
Michael,"Comedy, Drama, Fantasy",Nora Ephron,"John Travolta, Andie MacDowell, William Hurt, Bob Hoskins"
Can You Ever Forgive Me?,"Biography, Comedy, Crime",Marielle Heller,"Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone"
Suna no onna,"Drama, Thriller",Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Kôji Mitsui, Hiroko Itô"
Swan Song,"Drama, Romance, Sci-Fi",Benjamin Cleary,"Mahershala Ali, Naomie Harris, Awkwafina, Glenn Close"
Killer Workout,Horror,David A. Prior,"Marcia Karr, David Campbell, Fritz Matthews, Ted Prior"
All Is Lost,"Action, Adventure, Drama",J.C. Chandor,Robert Redford
The Recruit,"Action, Thriller",Roger Donaldson,"Al Pacino, Colin Farrell, Bridget Moynahan, Gabriel Macht"
Locked Down,"Comedy, Crime, Romance",Doug Liman,"Chiwetel Ejiofor, Anne Hathaway, Sonic, Dulé Hill"
Peter Rabbit 2: The Runaway,"Animation, Adventure, Comedy",Will Gluck,"Rose Byrne, Domhnall Gleeson, David Oyelowo, James Corden"
Separation,"Drama, Horror, Mystery",William Brent Bell,"Rupert Friend, Violet McGraw, Madeline Brewer, Mamie Gummer"
The Dragon Painter,"Drama, Romance",William Worthington,"Sessue Hayakawa, Tsuru Aoki, Edward Peil Sr., Toyo Fujita"
Stir Crazy,"Comedy, Crime",Sidney Poitier,"Gene Wilder, Richard Pryor, Georg Stanford Brown, JoBeth Williams"
The Outfit,"Crime, Drama, Thriller",John Flynn,"Robert Duvall, Karen Black, Joe Don Baker, Robert Ryan"
Waitress: The Musical,"Comedy, Drama, Musical",Diane Paulus,"Brett Sullivan, Sara Bareilles, Drew Gehling, Charity Dawson, Dakin Matthews"
Riphagen,"Biography, Drama, War",Pieter Kuijpers,"Steef de Bot, Huub Smit, Sigrid ten Napel, Anna Raadsveld"
The Lazarus Effect,"Horror, Mystery, Sci-Fi",David Gelb,"Olivia Wilde, Mark Duplass, Evan Peters, Sarah Bolger"
Loser,"Comedy, Romance",Amy Heckerling,"Jason Biggs, Mena Suvari, Zak Orth, Thomas Sadoski"
Wolf Creek 2,"Horror, Thriller",Greg McLean,"John Jarratt, Ryan Corr, Shannon Ashlyn, Philippe Klaus"
Private Benjamin,"Comedy, War",Howard Zieff,"Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber"
Madeline,"Comedy, Family",Daisy von Scherler Mayer,"Frances McDormand, Nigel Hawthorne, Hatty Jones, Ben Daniels"
Yannick,"Comedy, Drama",Quentin Dupieux,"Raphaël Quenard, Pio Marmaï, Blanche Gardin, Sébastien Chassagne"
In the Loop,Comedy,Armando Iannucci,"Tom Hollander, Peter Capaldi, James Gandolfini, Harry Hadden-Paton"
Bright Star,"Biography, Drama, Romance",Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox"
Terror on the Prairie,"Drama, Thriller, Western",Michael Polish,"Gina Carano, Nick Searcy, Donald Cerrone, Heath Freeman"
The Valet,"Comedy, Drama, Romance",Richard Wong,"Eugenio Derbez, Samara Weaving, Max Greenfield, Betsy Brandt"
Eight Below,"Adventure, Drama, Family",Frank Marshall,"Paul Walker, Jason Biggs, Bruce Greenwood, Moon Bloodgood"
"Madrid, 1987",Drama,David Trueba,"José Sacristán, María Valverde, Ramon Fontserè, Alberto Ferreiro"
This Time Next Year,"Comedy, Romance",Nick Moore,"Golda Rosheuvel, John Hannah, Sophie Cookson, Anita Dobson"
The Row,"Horror, Thriller",Matty Beckerman,"Lala Kent, Randy Couture, Natali Yura, Shea Buckner"
Jaula,"Horror, Mystery, Thriller",Ignacio Tatay,"Elena Anaya, Pablo Molinero, Eva Tennear, Eva Llorach"
Deux,"Drama, Romance",Filippo Meneghetti,"Barbara Sukowa, Martine Chevallier, Léa Drucker, Jérôme Varanfrain"
Nocebo,"Horror, Thriller",Lorcan Finnegan,"Eva Green, Mark Strong, Chai Fonacier, Billie Gadsdon"
Force 10 from Navarone,"Action, Drama, War",Guy Hamilton,"Harrison Ford, Robert Shaw, Edward Fox, Franco Nero"
Bedspacer,"Drama, Thriller",Carlo Obispo,"Christine Bermas, Micaella Raz, Matthew Francisco, JD Aguas"
Are We There Yet?,"Adventure, Comedy, Family",Brian Levant,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden"
Book of Shadows: Blair Witch 2,"Adventure, Fantasy, Horror",Joe Berlinger,"Jeffrey Donovan, Stephen Barker Turner, Erica Leerhsen, Kurt Loder"
Dolemite Is My Name,"Biography, Comedy, Drama",Craig Brewer,"Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson"
Redline,"Animation, Action, Sci-Fi",Takeshi Koike,"Takuya Kimura, Yû Aoi, Tadanobu Asano, Yoshiyuki Morishita"
Rather,Documentary,Frank Marshall,"Samantha Bee, Tom Bettag, Douglas Brinkley, Andy Cohen"
Kalank,"Drama, Romance",Abhishek Varman,"Sonakshi Sinha, Alia Bhatt, Kriti Sanon, Kiara Advani"
Stomp the Yard,"Drama, Music, Romance",Sylvain White,"Columbus Short, Meagan Good, Ne-Yo, Darrin Dewitt Henson"
Den 12. mann,"Drama, History, Thriller",Harald Zwart,"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen"
Warhorse One,"Action, Drama, War",William Kaufman,"Johnny Strong, Johnny Strong, Athena Durner, Raj Kala, James Sherrill"
Thanks for Sharing,"Comedy, Drama, Romance",Stuart Blumberg,"Mark Ruffalo, Tim Robbins, Gwyneth Paltrow, Josh Gad"
Left Behind,"Action, Drama, Fantasy",Vic Sarin,"Kirk Cameron, Brad Johnson, Janaya Stephens, Clarence Gilyard Jr."
The Boss,Comedy,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson"
Captain America,"Action, Adventure, Sci-Fi",Albert Pyun,"Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin"
The Witcher: Nightmare of the Wolf,"Animation, Action, Adventure",Kwang Il Han,"Theo James, Mary McDonnell, Lara Pulver, Graham McTavish"
The Laundromat,"Comedy, Crime, Drama",Steven Soderbergh,"Gary Oldman, Antonio Banderas, AJ Meijer, Arsenio Castellanos"
The Innkeepers,"Drama, Horror, Mystery",Ti West,"Sara Paxton, Pat Healy, Kelly McGillis, Alison Bartlett"
W.E.,"Drama, History, Romance",Madonna,"Abbie Cornish, James D'Arcy, Andrea Riseborough, Oscar Isaac"
Kin,"Action, Drama, Sci-Fi",Jonathan Baker,"Josh Baker, Myles Truitt, Jack Reynor, Dennis Quaid, Zoë Kravitz"
Schwarzer Panther,"Drama, Romance",Samuel Perriard,"Lucy Wirth, Ole Jacobs, Jonas Hien, Eric Gagg"
Striking Distance,"Action, Crime, Mystery",Rowdy Herrington,"Bruce Willis, Sarah Jessica Parker, Dennis Farina, Tom Sizemore"
Madea Goes to Jail,"Comedy, Crime, Drama",Tyler Perry,"Tyler Perry, Keshia Knight Pulliam, Derek Luke, David Mann"
12 Mighty Orphans,"History, Sport",Ty Roberts,"Luke Wilson, Vinessa Shaw, Wayne Knight, Martin Sheen"
Lat sau san taam,"Action, Crime, Thriller",John Woo,"Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Mo, Philip Chan"
There's Something in the Barn,"Comedy, Fantasy, Horror",Magnus Martens,"Martin Starr, Amrita Acharia, Kiran Shah, Townes Bunner"
Regression,"Crime, Drama, Mystery",Alejandro Amenábar,"Ethan Hawke, David Thewlis, Emma Watson, Dale Dickey"
Afternoon Delight,"Comedy, Drama",Joey Soloway,"Kathryn Hahn, Link Ruiz, Cesar Garcia, Jane Lynch"
Black Sheep,Comedy,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole"
Beurokeo,"Comedy, Crime, Drama",Kore-eda Hirokazu,"Song Kang-ho, Gang Dong-won, Bae Doona, IU"
The Family That Preys,Drama,Tyler Perry,"Kathy Bates, Alfre Woodard, Sanaa Lathan, Rockmond Dunbar"
The Prowler,"Horror, Mystery, Thriller",Joseph Zito,"Vicky Dawson, Christopher Goutman, Lawrence Tierney, Farley Granger"
Songbird,"Drama, Sci-Fi, Thriller",Adam Mason,"K.J. Apa, Sofia Carson, Craig Robinson, Bradley Whitford"
Unforgettable,"Drama, Thriller",Denise Di Novi,"Rosario Dawson, Katherine Heigl, Geoff Stults, Isabella Kai"
DeepStar Six,"Action, Horror, Sci-Fi",Sean S. Cunningham,"Greg Evigan, Nancy Everhard, Taurean Blacque, Miguel Ferrer"
Be My Cat: A Film for Anne,"Crime, Horror, Thriller",Adrian Tofei,"Adrian Tofei, Sonia Teodoriu, Florentina Hariton, Alexandra Stroe"
Chosen Family,"Comedy, Drama, Romance",Heather Graham,"Heather Graham, Julia Stiles, John Brotherton, Thomas Lennon"
Barnyard,"Animation, Adventure, Comedy",Steve Oedekerk,"Kevin James, Courteney Cox, Danny Glover, Sam Elliott"
Huesera,"Drama, Horror",Michelle Garza Cervera,"Natalia Solián, Alfonso Dosal, Mayra Batalla, Mercedes Hernández"
The Food of the Gods,"Adventure, Horror, Sci-Fi",Bert I. Gordon,"Marjoe Gortner, Pamela Franklin, Ralph Meeker, Jon Cypher"
Secret Admirer,"Comedy, Romance",David Greenwalt,"C. Thomas Howell, Lori Loughlin, Kelly Preston, Dee Wallace"
Romeo,"Drama, Romance",Vinayak Vaithiyanathan,"Vijay Antony, Yogi Babu, VTV Ganesh, Ilavarasu"
Shutter,"Horror, Mystery, Thriller",Masayuki Ochiai,"Joshua Jackson, Rachael Taylor, James Kyson, Megumi Okina"
Los ritos sexuales del diablo,"Drama, Horror, Mystery",José Ramón Larraz,"Helga Liné, Vanessa Hidalgo, Jeffrey Healey, Alfred Lucchetti"
Chupa,"Action, Adventure, Drama",Jonás Cuarón,"Demián Bichir, Christian Slater, Evan Whitten, Ashley Ciarra"
Darlings,"Comedy, Drama, Thriller",Jasmeet K Reen,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew"
Stop! Or My Mom Will Shoot,"Action, Comedy",Roger Spottiswoode,"Sylvester Stallone, Estelle Getty, JoBeth Williams, Roger Rees"
Iron Lung,"Horror, Sci-Fi",Mark Fischbach,"Mark Fischbach, Elle LaMont, Seán McLoughlin, Caroline Kaplan"
Robert the Bruce,"Biography, Drama, History",Richard Gray,"Angus Macfadyen, Diarmaid Murtagh, Jared Harris, Stephen Murphy"
Tall Man Riding,Western,Lesley Selander,"Randolph Scott, Dorothy Malone, Peggie Castle, William Ching"
Madame Claude,"Biography, Crime, Drama",Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps"
The Old Man & the Gun,"Biography, Comedy, Crime",David Lowery,"Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover"
When a Stranger Calls,"Mystery, Thriller",Fred Walton,"Carol Kane, Charles Durning, Rutanya Alda, Carmen Argenziano"
Bulletproof,"Action, Comedy, Crime",Ernest R. Dickerson,"Damon Wayans, Adam Sandler, James Caan, Jeep Swenson"
The Neighbor,"Romance, Thriller",Aaron Harvey,"William Fichtner, Jessica McNamee, Jean Louisa Kelly, Michael Rosenbaum"
Far from Heaven,"Drama, Romance",Todd Haynes,"Julianne Moore, Dennis Quaid, Dennis Haysbert, Patricia Clarkson"
Adult World,"Comedy, Drama",Scott Coffey,"Emma Roberts, Evan Peters, John Cusack, Cloris Leachman"
Gymkata,"Action, Thriller",Robert Clouse,"Kurt Thomas, Tetchie Agbayani, Richard Norton, Edward Michael Bell"
Freier Fall,"Drama, Romance",Stephan Lacant,"Hanno Koffler, Max Riemelt, Attila Borlan, Katharina Schüttler"
The Eye,"Horror, Mystery",David Moreau,"Xavier Palud, Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija"
V/H/S/2,"Horror, Thriller",Simon Barrett,"Jason Eisener, Gareth Evans, Gregg Hale, Eduardo Sánchez, Timo Tjahjanto, Adam Wingard, Lawrence Michael Levine, Kelsy Abbott, Adam Wingard, Hannah Hughes"
Highway,"Crime, Drama, Romance",Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar"
Heads of State,"Action, Thriller",Ilya Naishuller,"Carla Gugino, Idris Elba, Jack Quaid, John Cena"
The Burnt Orange Heresy,"Drama, Mystery, Thriller",Giuseppe Capotondi,"Claes Bang, Elizabeth Debicki, Mick Jagger, Donald Sutherland"
Pollyanna,"Comedy, Drama, Family",David Swift,"Jane Wyman, Hayley Mills, Richard Egan, Karl Malden"
Mercy,Action,Tony Dean Smith,"Leah Gibson, Jonathan Rhys Meyers, Jon Voight, Sebastien Roberts"
Censor,"Horror, Mystery, Thriller",Prano Bailey-Bond,"Niamh Algar, Michael Smiley, Nicholas Burns, Vincent Franklin"
Tau,"Horror, Sci-Fi, Thriller",Federico D'Alessandro,"Maika Monroe, Ed Skrein, Gary Oldman, Fiston Barek"
Viva Las Vegas,"Comedy, Musical",George Sidney,"Elvis Presley, Ann-Margret, Cesare Danova, William Demarest"
Intolerable Cruelty,"Comedy, Crime, Romance",Joel Coen,"Ethan Coen, George Clooney, Catherine Zeta-Jones, Billy Bob Thornton, Geoffrey Rush"
Faraway,"Comedy, Drama, Romance",Vanessa Jopp,"Naomi Krauss, Goran Bogdan, Adnan Maral, Bahar Balci"
The Beach House,"Drama, Horror, Mystery",Jeffrey A. Brown,"Liana Liberato, Noah Le Gros, Jake Weber, Maryann Nagel"
The Serpent and the Rainbow,"Fantasy, Horror",Wes Craven,"Bill Pullman, Cathy Tyson, Zakes Mokae, Paul Winfield"
National Security,"Action, Comedy, Crime",Dennis Dugan,"Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke"
Flickan som lekte med elden,"Action, Crime, Drama",Daniel Alfredson,"Noomi Rapace, Michael Nyqvist, Lena Endre, Peter Andersson"
Valentino,"Biography, Drama",Ken Russell,"Rudolf Nureyev, Leslie Caron, Michelle Phillips, Carol Kane"
Yi dai zong shi,"Action, Biography, Drama",Kar-Wai Wong,"Tony Leung Chiu-wai, Ziyi Zhang, Jin Zhang, Chang Chen"
Arizona Dream,"Comedy, Drama, Fantasy",Emir Kusturica,"Johnny Depp, Jerry Lewis, Faye Dunaway, Lili Taylor"
"Paul, Apostle of Christ","Adventure, Biography, Drama",Andrew Hyatt,"Jim Caviezel, James Faulkner, Olivier Martinez, Joanne Whalley"
Dreamer: Inspired by a True Story,"Drama, Family, Sport",John Gatins,"Kurt Russell, Dakota Fanning, Oded Fehr, Kris Kristofferson"
Lucky,"Comedy, Drama, Western",John Carroll Lynch,"Harry Dean Stanton, David Lynch, Ron Livingston, Ed Begley Jr."
Le procès,"Drama, Mystery, Thriller",Orson Welles,"Anthony Perkins, Arnoldo Foà, Jess Hahn, Billy Kearns"
Death Note: Desu nôto,"Crime, Drama, Fantasy",Shûsuke Kaneko,"Tatsuya Fujiwara, Ken'ichi Matsuyama, Asaka Seto, Yû Kashii"
Mississippi Masala,"Drama, Romance",Mira Nair,"Denzel Washington, Sarita Choudhury, Roshan Seth, Sharmila Tagore"
Romance & Cigarettes,"Comedy, Musical, Romance",John Turturro,"James Gandolfini, Susan Sarandon, Kate Winslet, Steve Buscemi"
Shanghai Knights,"Action, Adventure, Comedy",David Dobkin,"Jackie Chan, Owen Wilson, Fann Wong, Aaron Taylor-Johnson"
Satan's Slaves,"Drama, Horror, Mystery",Joko Anwar,"Tara Basro, Bront Palarae, Dimas Aditya, Endy Arfian"
Midnight in the Switchgrass,"Crime, Mystery, Thriller",Randall Emmett,"Emile Hirsch, Megan Fox, Bruce Willis, Lukas Haas"
Wristcutters: A Love Story,"Comedy, Drama, Fantasy",Goran Dukic,"Patrick Fugit, Shea Whigham, Tom Waits, Will Arnett"
The Guilt Trip,"Comedy, Drama",Anne Fletcher,"Barbra Streisand, Seth Rogen, Julene Renee, Zabryna Guevara"
Neru,Drama,Jeethu Joseph,"Mohanlal, Siddique, Santhi Mayadevi, Abraham Jacob"
Flight of the Phoenix,"Action, Adventure, Drama",John Moore,"Dennis Quaid, Miranda Otto, Giovanni Ribisi, Tyrese Gibson"
Spanking the Monkey,"Comedy, Drama",David O. Russell,"Jeremy Davies, Alberta Watson, Benjamin Hendrickson, Elizabeth Newett"
Crossing,Drama,Levan Akin,"Mzia Arabuli, Lucas Kankava, Deniz Dumanli"
The Glassworker,"Animation, Romance",Usman Riaz,"Art Malik, Sacha Dhawan, Anjli Mohindra, Tony Jayawardena"
The Deep House,"Drama, Horror, Mystery",Alexandre Bustillo,"Julien Maury, Camille Rowe, James Jagger, Eric Savin, Alexis Servaes"
Injustice,"Animation, Action, Adventure",Matt Peters,"Justin Hartley, Anson Mount, Laura Bailey, Zach Callison"
Les démoniaques,Horror,Jean Rollin,"Joëlle Coeur, John Rico, Willy Braque, Paul Bisciglia"
16 Blocks,"Action, Drama, Thriller",Richard Donner,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern"
Billy Lynn's Long Halftime Walk,"Action, Drama, Sport",Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee"
Deep Fear,"Action, Horror, Thriller",Marcus Adams,"Mãdãlina Ghenea, Ed Westwick, Macarena Gómez, Stany Coppet"
My Girl 2,"Comedy, Drama, Family",Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Anna Chlumsky, Austin O'Brien"
